year,rank,name,slug,cuisine,price,price_num,location,city,address,full_address,lat,lng,description,image,url,prev_rank
2025,37,Minnie Bell’s Soul Movement,minnie-bells-soul-movement,Soul food,$,1,San Francisco,San Francisco,1375 Fillmore St.,"1375 Fillmore St., San Francisco, CA",37.782071,-122.432708,"Despite the seismic changes to the Fillmore, the spirit of the historic Black neighborhood lives on through Minnie Bell’s Soul Movement, which became San Francisco’s best soul food restaurant the moment it opened.  Upon entering the cheery, casual restaurant, a black-and-white image of the Fillmore takes you to the past while murals honor chef-owner Fernay McPherson’s inspirations in the kitchen, her grandmother and great-aunt. Minnie Bell’s holds the championship belt for the best mac and cheese in the Bay Area, besting all its foes with cheese two ways: as a gooey pasta binder and a crispy cheese crust. The scabrous fried chicken, delicately perfumed with rosemary, is exceptional too, especially with a few drops of housemade hot sauce; think vinegary Louisiana-style, only fresher and spicier.",https://s.hdnux.com/photos/0/0/0/27168679/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#minnie-bells-soul-movement-listing,
2025,38,Mägo,mägo,Colombian,$$$,3,East Bay,Oakland,3762 Piedmont Ave.,"3762 Piedmont Ave., Oakland, CA",37.823599,-122.256041,"Mägo, a singular Colombian restaurant in Oakland, has none of the stuffy air you might associate with fine dining. The dining room is colorful, matching Colombia’s flag, and the attitude is loose and calm. The sounds of Latin American pop hits gently hang in the air as dinner unfolds. Chef Mark Liberman explores his Latin American roots in a fabulous (and competitively priced) tasting menu.  He reinterprets nostalgia with finesse, crowning medallion-sized arepas with a half moon of compressed fish head; stuffing corn pancakes with cheese followed by a drizzle of brown butter sauce; or crowning fluffy fried yuca with a dollop of whipped black beans. Main courses lean on grilled fish or meat, with a smokiness earned from a wood-burning, steering wheel-operated hearth. If your budget allows, consider the dynamic drink paring — pours of wine, sake and other surprises that bring out lovely hidden notes in dishes.",https://s.hdnux.com/photos/0/0/0/27172326/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#mägo-listing,
2025,39,Flour + Water,flour-water,Italian,$$$,3,San Francisco,San Francisco,2401 Harrison St.,"2401 Harrison St., San Francisco, CA",37.758923,-122.412185,"Sixteen years after Thomas McNaughton opened his Cal-Italian restaurant on a quiet corner in the Mission, he and co-chef Ryan Pollnow oversee a mini Flour + Water empire.  There’s Flour + Water Pasta Shop, sister restaurant Penny Roma, one Flour + Water Pizzeria with more on the way, and a line of packaged pasta that can be found at a grocery store near you. With all the expansion, is the original Flour + Water still a worthy destination? Very much so. It’s still one of the hardest reservations in San Francisco, and its pasta tasting menu one of the best special occasion splurges.",https://s.hdnux.com/photos/0/0/0/27168669/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#flour-water-listing,
2025,40,La Vaca Birria,la-vaca-birria,Mexican,$,1,San Francisco,San Francisco,2962 24th St.,"2962 24th St., San Francisco, CA",37.75289,-122.411391,"From down 24th Street, the whiff of mesquite smoke finds its ways to your nostrils, compelling your feet to investigate the source. You’ll find it at La Vaca Birria. The bright newcomer represents the natural evolution of a Mission District taqueria, honoring past traditions of the barrio while introducing new ones, like a woodburning grill.  Burritos are top-notch, best when filled with beef, oyster mushrooms or chicken, which are each freckled with char and imbued with woody aromas. Equally flavorful is the beef birria, which is braised for several hours in a panoply of spice, then paired with milky mozzarella cheese for quesabirria tacos that are best in show. The taqueria has a bubbly, bright colored aesthetic, with pastel tones, a wall of roses and a veil of dangling ropes by the kitchen.",https://s.hdnux.com/photos/0/0/0/27160756/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#la-vaca-birria-listing,
2025,41,Joodooboo,joodooboo,Korean,$,1,East Bay,Oakland,4201 Market St.,"4201 Market St., Oakland, CA",37.83255,-122.273742,"From its beginnings as a simple tofu and banchan shop, Joodooboo has blossomed into one of Oakland’s most thrilling restaurants, focusing on the gentler side of Korean cuisine. Banchan are conduits for the seasons: Spring brings marinated snap peas and artichoke, summer supplies sweet corn swirled with tofu, fall produces persimmon kimchi, and winter delivers braised kabocha squash.  Side dishes like these play an Oscar-worthy supporting role in the fried dooboo set, an excellent way to experience Joodooboo’s dreamy homemade tofu. Sometimes time is an ingredient. That’s the case at Joodooboo, which has grown gradually into a one-of-a-kind place to eat.",https://s.hdnux.com/photos/0/0/0/27172503/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#joodooboo-listing,
2025,42,Bo Ne Phu Yen,bo-ne-phu-yen,Vietnamese,$,1,South Bay,San Jose,1818 Tully Road,"1818 Tully Road, San Jose, CA",37.321996,-121.823061,"This restaurant is a constant reminder of the astounding quality and specificity of Vietnamese cuisine in east San Jose. Bo Ne Phu Yen, a stall inside the Lion Plaza food court, is a steak and eggs savant.  While the restaurant serves other food, the main draw is succulent bo ne, a French-Vietnamese dish served on a sizzling cow-shapped platter. It consists of fried eggs, slightly sweet pork meatballs, rich pate and melty filet mignon, garnished with cilantro sprigs and crumbled peanuts. This all-inclusive meal comes with a side of piquant soy sauce, a cup of tea and a crispy, toasted roll, ideal for dipping into runny yolks, smearing with pate and soaking up the beef drippings. The food court is constantly buzzing with shoppers, and Bo Ne is one of the most popular food options, so try to find a seat as soon as you order.",https://s.hdnux.com/photos/0/0/0/27172025/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#bo-ne-phu-yen-listing,
2025,43,Scoma’s,scomas,Seafood,$$$,3,San Francisco,San Francisco,1965 Al Scoma Way,"1965 Al Scoma Way, San Francisco, CA",37.8089477,-122.4184344,"Scoma’s should be a tourist trap. It’s been located on Fisherman’s Wharf since 1965, and its wood-paneled dining rooms, covered with autographed photos of celebrities from the ’70s, overlook the water. You are likely to find yourself seated next to tourists, whether they’re in from Melbourne for a couple of weeks or from Modesto for the day. But there’s no trap here.  Scoma’s, now owned and operated by the second and third generation, doesn’t take your patronage for granted. White-jacketed career servers are as helpful as they are knowledgeable, the fish is fresh off the boat every day and the Bloody Marys hit just right. It’s the type of place where you take family when they’re in town as a treat — ostensibly for them, but really for yourself.",https://s.hdnux.com/photos/0/0/0/27206551/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#scomas-listing,
2025,44,Fikscue,fikscue,Indonesian-Texas barbecue,$$,2,East Bay,Alameda,1708 Park St.,"1708 Park St., Alameda, CA",37.768274,-122.238897,"Texas wishes it had barbecue like Fikscue in Alameda, where customers brave hourslong lines for a spectacular blend of Indonesian cooking and Lone Star State-style smoked meats. Where else can you find hulking dino ribs and smoked brisket rendang?  The idea for the “Indo-Tex” combination started at the dinner table of married owners Fik and Reka Saleh. Fik, who previously ran a barbecue popup, nails the Texas technique with his wobbly, bark-encrusted brisket, chewy beef back ribs and snappy jalapeño-cheese sausages. Meanwhile, Reka, who used to run an Indonesian popup, puts Fikscue in a league of its own with her Indonesian offerings like the rendang, cubed beef tossed with a complex paste made of red pepper and coconut milk, and soto padang, a spiced noodle soup, to which you can add a slab of brisket. Eat your heart out, Texas.",https://s.hdnux.com/photos/0/0/0/27206544/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#fikscue-listing,
2025,45,Lily,lily,Vietnamese,$$,2,San Francisco,San Francisco,225 Clement St.,"225 Clement St., San Francisco, CA",37.7828365,-122.4616947,"World-class, inexpensive pho and banh mi shops abound in the Bay Area, but chef Rob Lam set out to do something different with Lily. His $72 fried rice, draped with caviar, uni and Wagyu, was a sly wink to his ambitions that, much to Lam’s distress, became a runaway success. It’s no longer on the menu, which is just as well; Lily’s less blingy dishes, like its bouncy rice noodle rolls or the dill-showered turmeric fish dish known as cha ca La Vong, are delectably dead serious.  There may be no $12 pho on the menu, but Lily’s Friday through Sunday lunch special — $32 for an appetizer, entree and fun beverage — is one of the top deals in the city.",https://s.hdnux.com/photos/0/0/0/27172523/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#lily-listing,
2025,46,LeYou,leyou,Ethiopian,$,1,South Bay,San Jose,1100 N. First St.,"1100 N. First St., Suite C, San Jose, CA",37.356601,-121.905332,"There are few joys as great as dining at LeYou in San Jose, where you’ll find distinct spins on Ethiopian cooking, matched with sips of honey wine or craft Ethiopian beer. To understand what it brings to the table, look no further than the fun appetizers like the kitfo bites, spicy, raw marinated tuna served with crisped, tangy injera.  Many Ethiopian spots offer a similar menu, but you’ll find deep cuts at LeYou like kay sir, beets toasted with onions and peppers; butcha, savory mashed chickpeas; and sauteed okra. Combination platters are like a greatest hits album and the most comprehensive way to approach the menu. Start with a vegetarian sampler, which includes four sides or stews, then, if needed, order a full-size entree of spiced white fish, springy mushrooms or saucy doro wot chicken. Dining here is especially enchanting when you sit on the patio, surrounded by trees, as the taste of spicy, gingery berbere dances on your tongue.",https://s.hdnux.com/photos/0/0/0/27172528/0/ratio16x9_1440.jpg,https://www.sfchronicle.com/projects/2025/top-100-best-restaurants-san-francisco-bay-area/#leyou-listing,
